,Item ID,Item Name - Language Tag,Item Name - Value,Main Image ID,Other Image IDs,Item Keywords
10,B07J2BHRNW,fr_FR,"Richter Kinderschuhe Bios, Mules Mixte Enfant Beige (Taupe Taupe) 42 EU",71QExDBDozL,"['81nvKgKv3pL', '81cIdeTT5GL', '715taYrtnZL', '719vdvUJUML']",['FR']
11,B08545ZYB4,en_IN,Amazon Brand - Solimo Designer Autumn Girl UV Printed Soft Back Case Mobile Cover for Karbonn Aura Power 4G Plus,71Ajg8gQEoL,"['61+woWTqkwL', '61SE4RTPjdL']","['Designer Autumn Girl Mobile Cover', 'Karbonn Aura Power 4G Plus Case', 'Printed Cover', 'cases and covers', 'fashion case', 'Designer Case', 'Silicone Case', 'Soft TPU', 'mobile Cover', 'Back Cover', 'Flexible Case']"
12,B0854LT1BG,en_IN,Amazon Brand - Solimo Designer Water Drop On Glass UV Printed Soft Back Case Mobile Cover for Samsung Galaxy A70s,71z2XJ0DW2L,"['61+woWTqkwL', '61SE4RTPjdL']","['Printed Cover', 'cases and covers', 'fashion case', 'Samsung Galaxy A70s Case', 'Designer Case', 'Designer Water Drop On Glass Mobile Cover', 'Silicone Case', 'Soft TPU', 'mobile Cover', 'Back Cover', 'Flexible Case']"
13,B07TC63L3M,en_IN,Amazon Brand - Solimo Designer Cactus 3D Printed Hard Back Case Mobile Cover for Motorola Moto G4 Plus,81RNHjN1X5L,"['61oI69Yt4GL', '61Xce1Hq7DL', '61ATVyzpLKL', '81Ay4WEWSdL']","['phone panel', 'mobile panel', 'Motorola phone cover', '3D printed mobile cover', 'mobile cover', 'Oppo mobile case', 'hard case', 'mobile case', 'Oppo phone cover', 'Motorola mobile case', 'Oppo back case', 'back cover', 'phone case', 'Motorola back case']"
14,B07R7WML4R,en_IN,Amazon Brand - Solimo Designer Kitty Printed Hard Back Case Mobile Cover for Samsung Galaxy M10 (D1211),61Q0baX067L,"['519fzbaUEVL', '51xtr80EGmL', '51ihda22C9L', '61nqcPNRsUL', '51VqT11Io7L']",['Samsung Galaxy M10 Mobile back case cover transparent slim designer printed stylish new girls boys']
15,B0853XF619,en_IN,Amazon Brand - Solimo Designer Colored Paris 3D Printed Hard Back Case Mobile Cover for Samsung Galaxy M40,71aiNHh7MOL,"['51wiRu6gT9L', '71HgCaa7mWL', '51DEYNWtfsL', '518RypAtk8L']","['backcase', 'cellphonecover', 'Designer Case', 'Hard Case', 'fashion case', 'cover', 'mobile cover', 'Designer Colored Paris Mobile Cover', 'protectivecover', 'Printed Cover', 'mobilecase', 'mobileguard', 'phonecase', 'polycarbonate cover', 'cases and covers', 'Samsung Galaxy M40 Case', 'protectivecase', 'backcover', 'phoneguard', 'case', 'mobilecover', 'cellphonecase', 'Back Cover', 'phonecover']"
16,B07TB5354R,en_IN,Amazon Brand - Solimo Designer Desert Plant 3D Printed Hard Back Case Mobile Cover for Huawei Honor 5c,71n4+cwHf0L,"['61oI69Yt4GL', '61Xce1Hq7DL', '61ATVyzpLKL', '71NrhTOHMtL']","['Huawei phone cover', 'Huawei back case', 'honor cover', 'phone panel', 'mobile panel', 'Huawei mobile case', '3D printed mobile cover', 'honor cases', 'mobile cover', 'Oppo mobile case', 'hard case', 'mobile case', 'Oppo phone cover', 'Oppo back case', 'back cover', 'phone case']"
17,B08569PPX3,en_IN,Amazon Brand - Solimo Designer Photography UV Printed Soft Back Case Mobile Cover for Mi Redmi Y3,71I4fD2ZneL,"['61+woWTqkwL', '61SE4RTPjdL']","['Designer Photography Mobile Cover', 'Printed Cover', 'cases and covers', 'fashion case', 'Designer Case', 'Silicone Case', 'Soft TPU', 'mobile Cover', 'Mi Redmi Y3 Case', 'Back Cover', 'Flexible Case']"
18,B07HCR1LSQ,zh_CN,[Amazon Collection] Amazon Collection 铂金镀白银 透明公主切割 立体 氧化锆 耳钉 双耳钉 JEE00087_120CL00QD00,61kDp2x8tPL,[],['イヤリングスタッドフープドロップゴールドシルバーハローレバーバックフック耳ジャケットフック真珠ジュエリーブラック小さな男性ヴィンテージオパールキュービックジルコニアホワイトイエローローズ']
19,B07RC7KRS3,en_IN,Amazon Brand - Solimo Designer Floral Printed Hard Back Case Mobile Cover for Xiaomi Redmi Note 5 (D386),71ynBbd33HL,"['61tjh4cYknL', '61PS6TlRWKL', '61ysrYhUGAL', '51nQ8V9l2kL', '61JjB6ni9iL']",['Xiaomi Redmi Note 5 Mobile back case cover transparent slim designer printed stylish new girls boys']
20,B07T22SBS8,en_IN,Amazon Brand - Solimo Designer Horizontal Arrow Texture 3D Printed Hard Back Case Mobile Cover for Motorola Moto E 2nd Generation,71NA-B-bFdL,"['61oI69Yt4GL', '61Xce1Hq7DL', '81VqlTOzwaL', '61ATVyzpLKL']","['samsung phone cover', 'samsung mobile case', 'phone panel', 'mobile panel', 'Motorola phone cover', 'mobile cover', 'samsung back case', 'mobile case', 'Motorola mobile case', 'back cover', 'phone case', 'Motorola back case']"
21,B07J4HXTQH,de_DE,AmazonBasics Türhebel Dezember Eingang poliertes Messing,71tjy4Ekf5L,"['81F6IAEwlzL', '71of28SsOTL', '71dBCU3GFsL', '61weuMHZbML']",[]
22,B075DQBBJZ,zh_CN,亚利桑那沙地平线照片带木架,91IjyKZ76qL,"['91i0jTWScLL', '81GjBMtcfBL', '81rgshp4g4L']","['defendmax', 'rocks', 'platter', 'faithful', 'tea', 'cups', 'sign', 'cosy', 'mirror', 'modern', 'cast', 'cocktail', 'music', 'bo', 'freeze', 'deer', 'tray', 'box', 'viski', 'door', 'ballerina', 'mid', 'cards', '80x40', 'hunting', 'armoire', 'bottle', 'host', 'for', 'bells', 'cooling', 'arrow', 'owl', 'blocker', 'head', 'mother', 'plate', 'ornament', 'century', 'triangle', 'cute', 'rod', 'excluder', 'salad', 'decor', 'servant']"
23,B07TC63LNR,en_IN,Amazon Brand - Solimo Designer Foil Paper Texture 3D Printed Hard Back Case Mobile Cover for Vivo Y51L,810fadO2BML,[],"['Xiaomi Mi mobile case', 'Xiaomi Mi phone cover', 'vivo phone cover', 'phone panel', 'mobile panel', 'Xiaomi Mi back case', '3D printed mobile cover', 'mobile cover', 'vivo back case', 'hard case', 'mobile case', 'vivo mobile case', 'back cover', 'phone case']"
24,B07THQY3CF,en_IN,Amazon Brand - Solimo Designer Candle Light 3D Printed Hard Back Case Mobile Cover for Oppo F5,61O+zPYa5AL,"['61oI69Yt4GL', '61Xce1Hq7DL', '71sADwWlyIL', '61ATVyzpLKL']","['phone panel', 'mobile panel', '3D printed mobile cover', 'mobile cover', 'Oppo mobile case', 'hard case', 'mobile case', 'Oppo phone cover', 'Oppo back case', 'back cover', 'phone case']"
25,B085116WBH,en_IN,Amazon Brand - Solimo Designer Steam Train 3D Printed Hard Back Case Mobile Cover for Samsung Galaxy M21,71fT96mT39L,"['51wiRu6gT9L', '71nHK7HRY6L', '51DEYNWtfsL', '518RypAtk8L']","['Samsung Galaxy M21 cover', 'Samsung Galaxy M21 mobile cover', 'mobile cover', 'Samsung Galaxy M21 case', 'Samsung Galaxy M21 mobile case', 'mobile case']"
26,B07TG4PDQY,en_IN,Amazon Brand - Solimo Designer Love Print On Cloth Pattern 3D Printed Hard Back Case Mobile Cover for Nokia 7.1,71q5qvcwI7L,"['61oI69Yt4GL', '71dFzSl9x4L', '61ATVyzpLKL', '61Xce1Hq7DL']","['Nokia back case', 'Nokia phone cover', 'phone panel', 'mobile panel', '3D printed mobile cover', 'mobile cover', 'hard case', 'mobile case', 'Nokia mobile case', 'back cover', 'phone case']"
27,B07T2BY5YW,en_IN,Amazon Brand - Solimo Designer Dark Flowers Photography 3D Printed Hard Back Case Mobile Cover for Xiaomi Redmi 1S,61NxifiMbuL,"['61oI69Yt4GL', '61Xce1Hq7DL', '71lX4fUDevL', '61ATVyzpLKL']","['Redmi phone cover', 'phone panel', 'mobile panel', 'Redmi mobile case', '3D printed mobile cover', 'mobile cover', 'Redmi back case', 'hard case', 'mobile case', 'back cover', 'phone case']"
28,B081HNP4FJ,en_IN,Amazon Brand - Solimo Designer Black Pattern Alphabet-C 3D Printed Hard Back Case Mobile Cover for Xiaomi Redmi 8A,61XWVe-B-sL,"['51AbYbblgmL', '51PN64bqb9L', '51kP9HdPKhL']","['Redmi phone cover', 'phone panel', 'mobile panel', 'Redmi mobile case', '3D printed mobile cover', 'mobile cover', 'Oppo mobile case', 'Redmi back case', 'hard case', 'mobile case', 'Oppo phone cover', 'Oppo back case', 'back cover', 'phone case']"
29,B07TG4KMBG,en_IN,Amazon Brand - Solimo Designer Orange Canvas 3D Printed Hard Back Case Mobile Cover for Nokia 6.1 Plus,81n2LMvnU-L,"['61oI69Yt4GL', '61Xce1Hq7DL', '61ATVyzpLKL', '81QWmMz1KIL']","['Nokia back case', 'Nokia phone cover', 'phone panel', 'mobile panel', 'mobile cover', 'Nokia mobile case', 'mobile case', 'back cover', 'phone case']"
30,B07KZ6PC16,nl_NL,AmazonBasics – hoogwaardig microvezel-laken,71TKqDLGitL,"['91z4uPpFDyL', '81kt4lCjrIL']",[]
31,B07RB6Y281,en_IN,Amazon Brand - Solimo Designer Never be Alone Printed Hard Back Case Mobile Cover for Apple iPhone XR (D1256),61eajEqMf6L,"['61xwR-qH5pL', '61IHEkn0rEL', '618GyylNZoL', '614-AqNCZxL', '61GvSuLvzRL']",['Apple iPhone XR Mobile back case cover transparent slim designer printed stylish new girls boys']
32,B07FC68398,es_MX,"WaterAce WA50SAS Bomba de sumidero, 1/2 HP, negro",614LbFKgSsL,"['81j9IM-0GGL', '61Q-NbkASIL', '611uRbm7iPL', '81m4VKZ-PvL', '61Fl7hc+FiL', '61KgKpjm1UL', '61oDSVmaGnL', '61y+CTCuObL', '61St-bq-5XL']","['Bomba de sumidero', 'Manga de tobillo', 'Tobillera para hombre', 'Manga de soporte de tobillo', 'Soporte de tendón de Aquilles', 'Manga de compresión de tobillo', 'Tobillera', 'Envoltura de tobillo', 'Soporte para fascitis plantar']"
33,B07B9VR6XT,es_MX,"WellWear Copper Back Brace, One Size",614YqF9mtTL,[],"['Cobre', 'Joint SupportBandages', 'copper back brace support compression splint sleeve infused', 'Health Care']"
34,B06XGHBRCL,nl_NL,"Amazon-merk - vinden. Archer, Heren Trainers,Kleur: wit,12 UK",71RKqQao9rL,"['91Swd-i+g1L', '916tzgPV7eL', '81zbbOBpbVL']","['low top trainers', 'mens shoes', 'trainers', 'low top sneakers', 'low top', 'low tops', 'mens trainers', 'sneakers', 'shoes']"
35,B0846BTJ34,en_IN,Stanton Men's Brown Loafers-8 UK (42 EU) (9 US) (FK/YT1893/BRW),71kE0ihplPL,"['71TTNozb5qL', '71BXaQXTrnL', '71iXlOubQlL', '7177+UX4-WL', '71rdHgn8OtL', '71T+7UcGGxL']","['8 UK (42 EU) (9 US)', 'FK/YT1893/BRW', 'Brown', 'SHOES', 'Stanton']"
36,B0857LWRT6,en_IN,Amazon Brand - Solimo Designer Lion UV Printed Soft Back Case Mobile Cover for Huawei Honor 7A,81fnogeiBfL,"['61+woWTqkwL', '61SE4RTPjdL']","['Printed Cover', 'cases and covers', 'fashion case', 'Designer Case', 'Silicone Case', 'Soft TPU', 'mobile Cover', 'Huawei\xa0Honor\xa07A Case', 'Back Cover', 'Flexible Case', 'Designer Lion Mobile Cover']"
37,B07PRFQHNG,es_ES,"UMI Merryfeel Microfiber Duvet Cover Set,Lightweight and Soft Bedding Set (8 Sizes,12 Colours)(200x200+2x80x80cm,Pink)",51TKpL0ljxL,"['61RoxZmjOpL', '61cBCG-VtXL', '61Ue6BEPiAL', '61OFClSzH5L', '61vALr+Bs-L', '61VEFaAwwOL']","['Funda de edredón, funda de edredón de color gris, funda de edredón doble, juego de funda de edredón, ropa de cama de hotel, funda de edredón king, ropa de cama de microfibra, 100 fundas de edredón de microfibra, fácil cuidado, 100% poliéster, funda de edredón de microfibra doble.']"
38,B07S74D9T7,zh_CN,AmazonBasics 亚马逊倍思 可调节扬声器支架,71x4c-BafpL,"['81fMrhXWHfL', '71gfY+SVZKL', '81FCuhRc-rL', '713pBn-yJiL', '713rV4T5T5L']","['monitor', 'lighter', 'universal', 'heavy', 'proline', 'lok', 'arc', 'portable', 'holder', 'pro', 'duty', 'stage', 'pstnd32', 'speakers', 'sms6000', 'quick', 'quiklok', 'air', 's1', 'dj', 'pa', 'audio', 'poles', 'pole', 'guitar', 'subwoofer', 'studio', 'mount', 'p', '35mm', 'projector', 'bose', 'system', 'antenna', 'pyle', 'ev', 'sms', 'quik', 'telescoping', '6000', 'stands', 'onstage', 'pstnd2', 'tripods', 'pair', 'behringer']"
39,B01N27SMXC,zh_CN,"THE FIX 女式 foley 流苏一脚蹬凉鞋, 米色, 6.5 B(M) US",71-eMu0gN+L,"['71kNNwo3PfL', '716vL8cWNNL', '61EmUPl6s3L', '71oreWA7nuL', '71LjnLlsffL', '717z9wk4n8L', '71hdqSSOssL']","['designer cocktail work wear office sexy spring fall gifts for her', 'zapatos shoe para de ladies mujer womans']"
40,B0896KVCJY,en_US,"AmazonBasics Eastlake Coolers Glass Drinkware Set, 15-Ounce, Set of 6",610jXVKNJpL,"['417gBsKfXML', '713Exge07zL', '21rr76qF9BL']","['coors', 'glasses', 'wine', 'crystal', 'bormioli', 'water', 'banquet', 'boch', 'shot', 'rocco', 'light', 'villeroy']"
41,B07Z49KN6V,en_IN,Amazon Brand - Solimo Designer Wooden Design 3D Printed Hard Back Case Mobile Cover for Coolpad Note 5,716zkGeKvyL,"['51AbYbblgmL', '51PN64bqb9L', '51kP9HdPKhL']","['multi-colored color phone accessory', 'Amazon Brand - Solimo phone accessory', 'Amazon Brand - Solimo', 'multi-colored color', 'Amazon Brand - Solimo SOLCPNOTE53DM141', 'phone accessory']"
42,B07T9TND12,en_IN,Amazon Brand - Solimo Designer Sparkle Girl Boss 3D Printed Hard Back Case Mobile Cover for Vivo Y69,71S0F2JJXEL,"['61oI69Yt4GL', '61Xce1Hq7DL', '61ATVyzpLKL', '71newoFKCKL']","['Nokia back case', 'Nokia phone cover', 'vivo phone cover', 'phone panel', 'mobile panel', 'mobile cover', 'vivo back case', 'Nokia mobile case', 'mobile case', 'vivo mobile case', 'back cover', 'phone case']"
43,B07TVRZZWB,en_CA,Amazonbasics On-Ear Wireless Bluetooth Headphones with Microphone - Champagne,61OnkGVhMWL,[],"['pod,republic,e10,e10m,relays,air,ipods,buds,retractable,sol,mint,apple,gen,samsung,s10,doltech,ear,noise,podswireless,model,galaxy,denon,case,c720,latest,new,auvio,relay,ah,earbuds,charging,model),soundmagic,cancelling,iphone,plus,monster,kz,1,2,airbuds,earpods,true,airpod,sport,ep1170,ep1170mn']"
44,B075NFPCRQ,ml_IN,Amazon Brand - Solimo വാക്സ് ടീലൈറ്റ് അൺസീറ്റഡ് മെഴുകുതിരി (50 എണ്ണത്തിന്‍റെ സെറ്റ്),61p9OeSQH1L,"['91CaVWLJZpL', '81oiYbeQvOL', '510wVlpCgdL']","['set of 100 diyas', 'tealight candles 100', 'tealight candles set of 50', 'set of 50 candles', 'tealight candles', 'diya', 'candles pack of 50', 'tealight', 'wax tealight', 'set of 50 diyas', 'tea lights for home', 'candles', 'set of 100 candles', 'diwali lights', 'diwali', 'unscented candles']"
45,B07Z42HLWV,en_IN,Nia & Nicole Women's Clutch (Navy Blue:: Mustard),818R27QVJSL,"['91x4csIfAxL', '812wH+-9CSL', '71Si6QuxBaL', '71KVcdgd6EL', '81m3Of08XrL']","['clutch for women', 'purse for women', 'clutches for women daily use', 'wallets for women stylish', 'ladies handbags for women leather', 'ladies purse', 'wallets for ladies', 'handbags for women latest branded']"
46,B07HP7116C,ja_JP,[アマゾンコレクション] Amazon Collection 14Kイエローゴールド 2.5mmラウンド 五石爪ファンシーグリーンのスワロフスキージルコニア 半 フープ スタッド ピアス 両耳用スタッドピアス JEE13625_5NNFG00A100,515SRd7XpuL,[],['バレンタインデニーイヤーレババックジャケットクライマーイヤリングプラチナロゴゴールドシルバースワロフスキーキュービックジルコニア']
47,B07TG42XG6,en_IN,Amazon Brand - Solimo Designer Take It Easy 3D Printed Hard Back Case Mobile Cover for HTC One M8,81jPNIa-+1L,"['61oI69Yt4GL', '81Q-Kv4dHzL', '61ATVyzpLKL', '61Xce1Hq7DL']","['HTC Desire phone cover', 'vivo phone cover', 'phone panel', 'mobile panel', '3D printed mobile cover', 'mobile cover', 'vivo back case', 'HTC Desire mobile case', 'hard case', 'mobile case', 'HTC Desire back case', 'vivo mobile case', 'back cover', 'phone case']"
48,B07TG4BK55,en_IN,Amazon Brand - Solimo Designer Water Drop On Glass 3D Printed Hard Back Case Mobile Cover for Samsung Z2,71oFcjO2ZsL,"['61oI69Yt4GL', '61Xce1Hq7DL', '81nOO5qMvIL', '61ATVyzpLKL']","['samsung phone cover', 'samsung mobile case', 'Micromax back case', 'phone panel', 'mobile panel', 'Micromax mobile case', '3D printed mobile cover', 'mobile cover', 'samsung back case', 'hard case', 'mobile case', 'Micromax phone cover', 'back cover', 'phone case']"
49,B084LLQH9N,en_CA,"find. Women's Felix-1w1-112 Brogue, Blue Navy, 7",71S8jh9mayL,"['81l42sQyzPL', '71Su2+Y7b7L', '71eqOYL9j2L', '81MQclwK24L']",[]
50,B01N5XROXR,en_AE,"Amazon Brand - 206 Collective Men's Pike Driving Slip-on Loafer, Black, 9.5 D US",61uONZVpAEL,"['61yu9rJlCeL', '61tpoUgSP2L', '61crcMgNsDL', '717TezbRHIL', '71g0p+08xWL', '71B6D4DKz0L', '71weF8+Z58L']","['ladies pumps dress heels fashion sneaker', 'party', 'fathers day gifts for dad']"
51,B07ZVWD8WX,es_ES,"Eono 3 en 1 Carcasa Protectora Compatible con MacBook Pro 13 Pulgadas USB-C (A2159/A1989/A1706/A1708,2019/2018/2017/2016) de Plástico Duro&Cubierta de Teclado&Protector de Pantalla,Ondulación Colorida",710JUcXJ37L,"['71wpJDJkJrL', '71xanC-WFBL', '61LxYZJvXiL', '61-QQiCKCbL', '61mkNQGNDTL']",['mac pro 13 funda funda mac pro 13 funda mac pro 13 a1466 mac pro 13 carcasa funda dura mac pro 13 2019 mac pro 13 funda funda mac pro 13 touch bar']
52,B07TJVSBV1,en_IN,Amazon Brand - Solimo Designer Ball Heart 3D Printed Hard Back Case Mobile Cover for Xiaomi Redmi Y1 Lite,71pbhQgbcZL,"['61oI69Yt4GL', '61Xce1Hq7DL', '61ATVyzpLKL', '71D1DPAb5fL']","['Redmi phone cover', 'phone panel', 'mobile panel', 'Redmi mobile case', 'mobile cover', 'Redmi back case', 'mobile case', 'back cover', 'phone case']"
53,B07TG38HZJ,en_IN,Amazon Brand - Solimo Designer Iron Impression 3D Printed Hard Back Case Mobile Cover for Lenovo A6600,81i4JjJs5RL,"['61oI69Yt4GL', '61Xce1Hq7DL', '61ATVyzpLKL', '916vTh+1EdL']","['Lenovo back case', 'Lenovo mobile case', 'phone panel', 'mobile panel', 'Lenovo phone cover', '3D printed mobile cover', 'mobile cover', 'hard case', 'mobile case', 'back cover', 'phone case']"
54,B07WG3V91C,en_IN,Amazon Brand - Symbol Men's Tan PU Formal Shoes - 9 UK (AZ-SY-437),814RXC4DgkL,"['81AkJF9Qp1L', '71N8gua4IkL', '81hVakVgA5L', '61PpzNSBgsL', '819lkJd4ofL']","['mens shoes', 'men shoes casual shoes', 'shoes for men formal', 'shoes for men', 'formal shoes for men black', 'formal shoes for mens leather', 'leather shoes for mens', 'shoes', 'leather shoes for men formal branded']"
55,B07QC4DZ2L,en_US,"365 EVERYDAY VALUE Organic Light Cream, 1 PT",81oNfRT6ebL,"['81xJxAXE4FL', '91qAnOyvRBL', '81owXlPmE6L', '71i2jM7tdoL', '41wiaYQpq5L']",[]
56,B07TCWTFY2,en_IN,Amazon Brand - Solimo Designer Wax Color 3D Printed Hard Back Case Mobile Cover for Asus Zenfone Max Pro M1 ZB601KL,71kGA2ndq+L,"['61oI69Yt4GL', '61Xce1Hq7DL', '71H2OSV3HhL', '61ATVyzpLKL']","['Zenfone cover', 'Asus mobile case', 'Asus back case', 'vivo phone cover', 'phone panel', 'mobile panel', 'Asus phone cover', 'mobile cover', 'vivo back case', 'mobile case', 'Zenfone cases', 'vivo mobile case', 'back cover', 'phone case']"
57,B081HNHSWS,en_IN,Amazon Brand - Solimo Designer Button Jeans Alphabet-X 3D Printed Hard Back Case Mobile Cover for Xiaomi Redmi 8A,71+R8dguS-L,"['51AbYbblgmL', '51PN64bqb9L', '51kP9HdPKhL']","['iphone phone cover', 'Redmi phone cover', 'phone panel', 'mobile panel', 'Redmi mobile case', 'mobile cover', 'iphone back case', 'iphone mobile case', 'Redmi back case', 'mobile case', 'back cover', 'phone case']"
58,B07NQ96YN9,en_GB,"Amazon Essentials Women's Manny, Brown Tan, 38.5 EU",61fH9aTfMIL,"['71AymDrpuFL', '61qXoMZjStL', '61qDo19NgzL', '61h3BqlKrNL', '61QPaJdIxaL', '71g+H66qBML', '61-Zjl2vLzL']",[]
59,B07TH3DFG8,en_IN,Amazon Brand - Solimo Designer Patternn 3D Printed Hard Back Case Mobile Cover for LG Stylus 3,71Qitt7H5gL,"['61oI69Yt4GL', '61Xce1Hq7DL', '61ATVyzpLKL', '71+6f4EWLOL']","['phone panel', 'mobile panel', '3D printed mobile cover', 'LG phone cover', 'mobile cover', 'LG back case', 'hard case', 'mobile case', 'LG mobile case', 'back cover', 'phone case']"
60,B07FW2NYGJ,en_US,"365 EVERYDAY VALUE Chai Spice Cashews, 10 OZ",91T4zCd6GhL,"['81BDJRcLw5L', '71KnFBUphOL', '71jE84JI7fL', '81q-a1iHUeL', '812fA2UfO1L', '91QTxpfJOhL', '71SL+7-Q4EL', '919nwDhTS+L']",[]
61,B08563HSGY,en_IN,Amazon Brand - Solimo Designer Multicolor Cute Love Red Pattern Design Printed Soft Back Case Mobile Cover for Samsung Galaxy Note 10 Lite,61y3xfkEpeL,"['61ITkUyx1RL', '61yuoGSEEBL', '31AhPf2nU+L']","['backcase', 'cellphonecover', 'samsung note 10 lite flexible back cover', 'cover', 'samsung note 10 lite mobile cover', 'samsung note 10 lite back cover', 'protectivecover', 'samsung note 10 lite printed covers', 'mobilecase', 'mobileguard', 'phonecase', 'samsung note 10 lite cover', 'protectivecase', 'backcover', 'phoneguard', 'samsung note 10 lite mobile accessories', 'samsung note 10 lite designer covers', 'case', 'mobilecover', 'cellphonecase', 'samsung note 10 lite designer case', 'samsung note 10 lite 360 cover', 'samsung note 10 lite tpu back cover', 'samsung note 10 lite silicon back case', 'phonecover']"
